Call ID,Caller ID,Receiver ID,Call Time,Duration,Call Status,Call Outcome,Wait Time (seconds),Rating,Answered,Direction,Caller Name,Receiver Name
CALL-0028,E5330,R5692,2024-10-13 22:45:21,255,Completed,Successful,11,4.0,Yes,Outgoing,Neha Verma,Reyansh Joshi
CALL-0029,E5419,R3402,2024-10-03 08:33:21,194,Completed,Unsuccessful,58,5.0,Yes,Outgoing,Priya Khan,Reyansh Mehta
CALL-0030,E6536,R5310,2024-10-21 09:40:21,220,Completed,Unsuccessful,32,4.0,Yes,Incoming,Aryan Rao,Reyansh Patel
CALL-0031,E7245,R9955,2024-09-25 12:30:21,143,Missed,,18,,No,Incoming,Vivaan Patel,Meera Patel
CALL-0032,E9809,R1377,2024-10-11 21:57:21,245,Completed,Follow-up Needed,10,3.0,Yes,Incoming,Meera Gupta,Ishika Rao
CALL-0033,E2288,R7670,2024-10-21 21:26:21,275,Missed,,56,,No,Outgoing,Ananya Sharma,Aanya Chauhan
CALL-0034,E2349,R4290,2024-10-10 03:55:21,42,Voicemail,,14,,No,Incoming,Krishna Gupta,Ishika Patel
CALL-0035,E2013,R3372,2024-10-18 11:19:21,76,Missed,,43,,No,Incoming,Aryan Chauhan,Karthik Verma
CALL-0036,E6483,R7681,2024-09-29 11:40:21,262,Completed,Successful,39,5.0,Yes,Incoming,Ananya Gupta,Neha Patel
CALL-0037,E5897,R1991,2024-10-07 02:47:21,79,Voicemail,,55,,No,Outgoing,Aditya Khan,Sneha Khan
CALL-0038,E5040,R8956,2024-09-23 14:47:21,108,Completed,Successful,56,5.0,Yes,Outgoing,Rahul Joshi,Diya Rao
CALL-0039,E7284,R3307,2024-09-30 10:27:21,48,Completed,Unsuccessful,46,5.0,Yes,Outgoing,Sneha Rao,Karthik Chauhan
CALL-0040,E4508,R3402,2024-09-23 19:25:21,300,Voicemail,,50,,No,Outgoing,Aryan Patel,Reyansh Mehta
CALL-0041,E2259,R6570,2024-10-01 19:17:21,273,Missed,,33,,No,Incoming,Priya Mehta,Aryan Singh
CALL-0042,E2164,R3367,2024-09-27 16:11:21,132,Voicemail,,1,,No,Outgoing,Aditya Singh,Ananya Singh
CALL-0043,E4507,R1311,2024-10-05 01:05:21,100,Missed,,54,,No,Incoming,Rohan Verma,Aarav Chauhan
CALL-0044,E8848,R7670,2024-10-12 19:21:21,287,Completed,Unsuccessful,7,2.0,Yes,Incoming,Priya Sharma,Aanya Chauhan
CALL-0045,E6054,R7398,2024-10-21 06:56:21,141,Voicemail,,48,,No,Outgoing,Aditya Rao,Aarav Khan
CALL-0046,E4562,R4907,2024-09-26 17:28:21,236,Completed,Successful,19,4.0,Yes,Incoming,Sneha Chauhan,Rohan Mehta
CALL-0047,E4198,R7192,2024-10-09 02:03:21,189,Voicemail,,23,,No,Incoming,Aditi Mehta,Aarav Sharma
CALL-0048,E7106,R9921,2024-10-04 13:11:21,131,Voicemail,,15,,No,Outgoing,Aditya Verma,Reyansh Verma
CALL-0049,E7106,R5471,2024-09-23 08:12:21,241,Missed,,41,,No,Incoming,Aditya Verma,Aditi Rao
CALL-0050,E8795,R8455,2024-09-25 08:07:21,267,Voicemail,,30,,No,Incoming,Reyansh Khan,Aditi Mehta
CALL-0051,E8111,R6571,2024-10-10 22:56:21,276,Voicemail,,13,,No,Outgoing,Priya Gupta,Diya Singh
CALL-0052,E2912,R1808,2024-10-19 03:03:21,178,Missed,,26,,No,Incoming,Aditi Sharma,Karthik Sharma
CALL-0053,E5653,R2275,2024-09-26 03:45:21,204,Missed,,9,,No,Outgoing,Diya Joshi,Vivaan Singh
CALL-0054,E5330,R5962,2024-09-22 17:38:21,114,Completed,Successful,40,4.0,Yes,Outgoing,Neha Verma,Aarav Gupta
CALL-0055,E7598,R8837,2024-09-28 08:28:21,82,Missed,,9,,No,Incoming,Vivaan Mehta,Rohan Singh
CALL-0056,E4273,R6755,2024-09-26 04:28:21,68,Voicemail,,42,,No,Outgoing,Arjun Khan,Priya Verma
CALL-0057,E8048,R2918,2024-10-10 02:56:21,244,Voicemail,,23,,No,Incoming,Aarav Patel,Reyansh Khan
CALL-0058,E8373,R6919,2024-10-08 07:50:21,41,Voicemail,,57,,No,Outgoing,Diya Mehta,Diya Mehta
CALL-0059,E8795,R3430,2024-09-23 10:28:21,204,Voicemail,,13,,No,Outgoing,Reyansh Khan,Sneha Verma
CALL-0060,E7177,R6448,2024-09-24 01:19:21,33,Completed,Successful,1,3.0,Yes,Incoming,Ishaan Singh,Sneha Mehta
CALL-0061,E7428,R7487,2024-10-02 18:25:21,210,Voicemail,,3,,No,Outgoing,Priya Rao,Rohan Verma
CALL-0062,E7180,R4519,2024-10-14 19:50:21,241,Completed,Follow-up Needed,8,2.0,Yes,Outgoing,Krishna Singh,Aditi Gupta
CALL-0063,E9244,R5522,2024-10-17 08:44:21,164,Missed,,42,,No,Incoming,Aanya Khan,Rahul Sharma
CALL-0064,E2904,R3227,2024-10-05 15:34:21,113,Voicemail,,26,,No,Incoming,Ishaan Khan,Meera Chauhan
CALL-0065,E4471,R5811,2024-10-09 03:55:21,100,Completed,Follow-up Needed,11,5.0,Yes,Incoming,Meera Patel,Aditi Joshi
CALL-0066,E6483,R5811,2024-10-02 22:33:21,57,Voicemail,,19,,No,Outgoing,Ananya Gupta,Aditi Joshi
CALL-0067,E9625,R4021,2024-10-01 21:22:21,174,Voicemail,,39,,No,Incoming,Sneha Singh,Aditya Singh
CALL-0068,E7967,R3227,2024-10-21 00:06:21,185,Completed,Successful,55,4.0,Yes,Outgoing,Aditi Joshi,Meera Chauhan
CALL-0069,E1526,R5299,2024-10-15 13:47:21,81,Completed,Unsuccessful,28,2.0,Yes,Incoming,Karthik Sharma,Aditya Verma
CALL-0070,E4580,R7670,2024-10-09 15:53:21,148,Missed,,13,,No,Incoming,Karthik Singh,Aanya Chauhan
CALL-0071,E2974,R4135,2024-09-24 17:18:21,71,Voicemail,,42,,No,Incoming,Meera Mehta,Karthik Khan
CALL-0072,E8596,R4271,2024-10-03 23:59:21,103,Missed,,9,,No,Outgoing,Neha Khan,Karthik Singh
CALL-0073,E2093,R4290,2024-09-30 03:37:21,203,Voicemail,,14,,No,Outgoing,Ananya Joshi,Ishika Patel
CALL-0074,E7675,R6570,2024-10-09 10:09:21,210,Completed,Unsuccessful,33,2.0,Yes,Outgoing,Neha Joshi,Aryan Singh
CALL-0075,E7243,R8715,2024-10-03 00:14:21,95,Completed,Follow-up Needed,27,1.0,Yes,Incoming,Rahul Gupta,Aditya Rao
CALL-0076,E8848,R9224,2024-10-05 17:35:21,54,Missed,,7,,No,Outgoing,Priya Sharma,Aanya Rao
CALL-0077,E7243,R3430,2024-10-04 17:50:21,276,Missed,,17,,No,Incoming,Rahul Gupta,Sneha Verma
CALL-0078,E6276,R7383,2024-10-11 19:17:21,196,Voicemail,,19,,No,Incoming,Arjun Gupta,Diya Patel
CALL-0079,E2882,R2101,2024-09-27 09:47:21,220,Missed,,14,,No,Outgoing,Ananya Singh,Aanya Sharma
CALL-0080,E2521,R5692,2024-10-09 02:13:21,248,Completed,Unsuccessful,59,3.0,Yes,Incoming,Reyansh Chauhan,Reyansh Joshi
CALL-0081,E7162,R6820,2024-10-04 01:58:21,262,Voicemail,,18,,No,Incoming,Karthik Patel,Priya Joshi
CALL-0082,E3998,R6448,2024-10-20 15:19:21,56,Completed,Successful,14,3.0,Yes,Incoming,Reyansh Sharma,Sneha Mehta
CALL-0083,E8110,R1627,2024-10-20 23:22:21,58,Voicemail,,10,,No,Outgoing,Neha Patel,Ananya Chauhan
CALL-0084,E7080,R5962,2024-10-09 21:55:21,79,Completed,Follow-up Needed,7,5.0,Yes,Outgoing,Krishna Mehta,Aarav Gupta
CALL-0085,E5757,R5962,2024-09-26 21:05:21,145,Completed,Successful,18,1.0,Yes,Outgoing,Ananya Patel,Aarav Gupta
CALL-0086,E2835,R2495,2024-10-12 17:57:21,245,Missed,,59,,No,Outgoing,Arjun Chauhan,Rahul Khan
CALL-0087,E6205,R6494,2024-10-03 06:03:21,300,Missed,,52,,No,Outgoing,Rohan Mehta,Aryan Khan
CALL-0088,E6728,R9524,2024-10-05 07:31:21,124,Voicemail,,40,,No,Incoming,Diya Verma,Aditi Sharma
CALL-0089,E7402,R9266,2024-10-17 13:09:21,65,Completed,Successful,5,2.0,Yes,Outgoing,Rahul Mehta,Aditya Patel
CALL-0090,E2237,R6966,2024-09-23 02:56:21,287,Completed,Successful,59,1.0,Yes,Incoming,Ananya Khan,Arjun Khan
CALL-0091,E4332,R6600,2024-09-24 05:56:21,99,Voicemail,,54,,No,Incoming,Rahul Verma,Aryan Rao
CALL-0092,E5935,R4932,2024-10-20 23:18:21,211,Completed,Successful,7,5.0,Yes,Outgoing,Aanya Mehta,Arjun Gupta
CALL-0093,E8830,R5811,2024-09-27 07:45:21,296,Voicemail,,46,,No,Outgoing,Priya Patel,Aditi Joshi
CALL-0094,E1883,R8956,2024-10-14 12:23:21,32,Missed,,32,,No,Incoming,Ishika Singh,Diya Rao
CALL-0095,E4943,R1689,2024-09-29 15:24:21,42,Voicemail,,48,,No,Outgoing,Ishaan Rao,Aryan Mehta
CALL-0096,E4273,R7579,2024-10-14 01:28:21,296,Completed,Follow-up Needed,30,5.0,Yes,Incoming,Arjun Khan,Neha Singh
CALL-0097,E6500,R7621,2024-10-17 19:06:21,215,Voicemail,,45,,No,Outgoing,Aditi Khan,Ananya Gupta
CALL-0098,E2779,R5423,2024-10-15 11:57:21,289,Voicemail,,8,,No,Incoming,Aarav Singh,Krishna Verma
CALL-0099,E8133,R9224,2024-10-08 15:22:21,174,Completed,Successful,49,2.0,Yes,Outgoing,Aarav Gupta,Aanya Rao
CALL-0100,E7177,R8627,2024-10-15 05:53:21,32,Completed,Follow-up Needed,60,3.0,Yes,Incoming,Ishaan Singh,Priya Gupta
CALL-0101,E2904,R6993,2024-10-05 06:12:21,71,Voicemail,,32,,No,Incoming,Ishaan Khan,Aditi Chauhan
CALL-0102,E8795,R3519,2024-09-22 16:34:21,275,Completed,Follow-up Needed,28,4.0,Yes,Outgoing,Reyansh Khan,Arjun Rao
CALL-0103,E3806,R5837,2024-09-21 18:49:21,54,Voicemail,,19,,No,Outgoing,Karthik Verma,Aditya Sharma
CALL-0104,E8720,R8536,2024-10-16 14:06:21,294,Completed,Unsuccessful,43,4.0,Yes,Incoming,Aryan Khan,Rohan Rao
CALL-0105,E3998,R7002,2024-10-06 22:48:21,66,Missed,,25,,No,Outgoing,Reyansh Sharma,Krishna Chauhan
CALL-0106,E1614,R1808,2024-10-07 10:31:21,88,Voicemail,,34,,No,Incoming,Krishna Verma,Karthik Sharma
CALL-0107,E2379,R4715,2024-10-05 11:53:21,36,Voicemail,,53,,No,Outgoing,Diya Sharma,Ishaan Singh
CALL-0108,E4580,R2053,2024-10-02 22:01:21,63,Completed,Unsuccessful,26,5.0,Yes,Incoming,Karthik Singh,Krishna Sharma
CALL-0109,E2399,R5483,2024-10-11 17:51:21,246,Voicemail,,15,,No,Incoming,Neha Mehta,Neha Rao
CALL-0110,E5653,R3402,2024-10-16 11:52:21,204,Voicemail,,5,,No,Incoming,Diya Joshi,Reyansh Mehta
CALL-0111,E7675,R7772,2024-10-15 05:33:21,150,Completed,Follow-up Needed,41,3.0,Yes,Incoming,Neha Joshi,Priya Chauhan
CALL-0112,E8809,R7273,2024-10-09 02:32:21,222,Missed,,24,,No,Outgoing,Meera Verma,Arjun Sharma
CALL-0113,E8110,R3402,2024-10-14 09:39:21,32,Missed,,40,,No,Incoming,Neha Patel,Reyansh Mehta
CALL-0114,E7428,R7184,2024-10-19 21:12:21,145,Completed,Unsuccessful,58,1.0,Yes,Outgoing,Priya Rao,Rahul Gupta
CALL-0115,E6949,R9659,2024-09-24 19:20:21,49,Missed,,36,,No,Incoming,Rohan Sharma,Priya Singh
CALL-0116,E7080,R9575,2024-09-30 08:37:21,217,Completed,Unsuccessful,46,2.0,Yes,Outgoing,Sneha Sharma,Karthik Joshi
CALL-0117,E1306,R7398,2024-10-02 16:25:21,69,Completed,Unsuccessful,24,1.0,Yes,Incoming,Aditya Chauhan,Aarav Khan
CALL-0118,E4694,R8715,2024-10-03 04:15:21,34,Voicemail,,7,,No,Outgoing,Aarav Khan,Aditya Rao
CALL-0119,E9688,R3402,2024-10-15 22:45:21,177,Completed,Successful,33,4.0,Yes,Outgoing,Aryan Singh,Reyansh Mehta
CALL-0120,E4600,R9889,2024-10-05 11:22:21,162,Completed,Unsuccessful,26,3.0,Yes,Outgoing,Ishika Patel,Meera Joshi
CALL-0121,E6205,R9921,2024-10-11 22:10:21,242,Completed,Follow-up Needed,35,1.0,Yes,Outgoing,Rohan Mehta,Reyansh Verma
CALL-0122,E9803,R5962,2024-10-01 09:45:21,86,Voicemail,,0,,No,Incoming,Aanya Joshi,Aarav Gupta
CALL-0123,E9244,R3842,2024-10-09 09:04:21,149,Voicemail,,33,,No,Incoming,Aanya Khan,Sneha Rao
CALL-0124,E7314,R3827,2024-10-22 05:14:21,97,Completed,Successful,4,2.0,Yes,Outgoing,Rohan Singh,Ishika Gupta
CALL-0125,E9298,R4741,2024-10-08 19:03:21,39,Completed,Unsuccessful,50,5.0,Yes,Outgoing,Diya Singh,Sneha Patel
CALL-0126,E9244,R1975,2024-09-27 17:01:21,48,Completed,Follow-up Needed,51,3.0,Yes,Incoming,Aanya Khan,Sneha Singh
CALL-0127,E7106,R4813,2024-10-16 21:07:21,118,Voicemail,,0,,No,Outgoing,Aditya Verma,Aditya Chauhan
CALL-0128,E3108,R9964,2024-10-04 09:18:21,51,Voicemail,,29,,No,Outgoing,Krishna Patel,Sneha Gupta
CALL-0129,E3157,R6755,2024-10-06 07:26:21,181,Voicemail,,0,,No,Outgoing,Aarav Joshi,Priya Verma
CALL-0130,E9019,R8105,2024-10-09 06:01:21,200,Voicemail,,14,,No,Incoming,Krishna Joshi,Ishaan Mehta
CALL-0131,E5232,R4808,2024-09-21 18:56:21,131,Voicemail,,34,,No,Incoming,Neha Singh,Krishna Joshi
CALL-0132,E4189,R6001,2024-09-25 19:05:21,235,Voicemail,,25,,No,Outgoing,Ishika Chauhan,Rohan Gupta
CALL-0133,E6173,R9096,2024-09-25 05:04:21,297,Completed,Follow-up Needed,5,2.0,Yes,Incoming,Karthik Joshi,Neha Mehta
CALL-0134,E9840,R6494,2024-09-24 05:16:21,183,Missed,,5,,No,Outgoing,Meera Singh,Aryan Khan
CALL-0135,E4302,R4344,2024-09-27 00:30:21,252,Voicemail,,18,,No,Outgoing,Ishaan Mehta,Priya Rao
CALL-0136,E6119,R6966,2024-10-08 15:35:21,207,Voicemail,,59,,No,Outgoing,Neha Rao,Arjun Khan
CALL-0137,E1261,R1648,2024-10-21 01:13:21,63,Missed,,3,,No,Incoming,Ishaan Verma,Diya Khan
CALL-0138,E6646,R6001,2024-09-30 15:36:21,186,Missed,,10,,No,Outgoing,Aanya Verma,Rohan Gupta
CALL-0139,E8255,R3593,2024-09-30 08:33:21,145,Voicemail,,12,,No,Incoming,Aditi Chauhan,Karthik Patel
CALL-0140,E4312,R7804,2024-10-12 03:20:21,261,Completed,Successful,45,2.0,Yes,Outgoing,Rahul Khan,Ishaan Khan
CALL-0141,E2288,R6687,2024-09-27 12:59:21,275,Completed,Successful,10,1.0,Yes,Incoming,Ananya Sharma,Ananya Verma
CALL-0142,E7243,R5992,2024-10-21 12:43:21,285,Completed,Unsuccessful,55,5.0,Yes,Outgoing,Rahul Gupta,Arjun Verma
CALL-0143,E5631,R6065,2024-10-06 12:45:21,42,Voicemail,,35,,No,Incoming,Arjun Rao,Aarav Verma
CALL-0144,E2904,R7346,2024-10-15 17:18:21,279,Voicemail,,26,,No,Incoming,Ishaan Khan,Meera Verma
CALL-0145,E5040,R9096,2024-09-22 05:57:21,234,Completed,Follow-up Needed,28,3.0,Yes,Outgoing,Rahul Joshi,Neha Mehta
CALL-0146,E7241,R4396,2024-10-04 04:52:21,103,Voicemail,,54,,No,Outgoing,Ishika Verma,Aarav Mehta
CALL-0147,E2970,R7252,2024-09-23 05:32:21,278,Voicemail,,18,,No,Outgoing,Arjun Singh,Ananya Patel
CALL-0148,E8048,R2495,2024-10-22 09:13:21,46,Completed,Follow-up Needed,8,1.0,Yes,Outgoing,Aarav Patel,Rahul Khan
CALL-0149,E3464,R4519,2024-10-18 14:20:21,199,Voicemail,,12,,No,Incoming,Vivaan Khan,Aditi Gupta
CALL-0150,E4978,R2705,2024-09-29 20:39:21,134,Voicemail,,38,,No,Incoming,Vivaan Chauhan,Aryan Gupta
CALL-0151,E2779,R1655,2024-10-21 17:57:21,205,Voicemail,,49,,No,Incoming,Aarav Singh,Arjun Singh
CALL-0152,E4309,R3307,2024-10-19 15:27:21,99,Missed,,14,,No,Outgoing,Ishaan Gupta,Karthik Chauhan
CALL-0153,E7106,R1991,2024-10-07 04:23:21,288,Missed,,20,,No,Incoming,Aditya Verma,Sneha Khan
CALL-0154,E4279,R2895,2024-10-18 14:05:21,234,Missed,,18,,No,Incoming,Sneha Patel,Krishna Singh
CALL-0155,E6503,R6571,2024-10-03 20:34:21,213,Completed,Successful,52,4.0,Yes,Outgoing,Krishna Sharma,Diya Singh
CALL-0156,E7284,R7772,2024-10-11 15:00:21,74,Completed,Follow-up Needed,32,1.0,Yes,Outgoing,Sneha Rao,Priya Chauhan
CALL-0157,E7080,R1500,2024-09-25 06:02:21,95,Missed,,1,,No,Incoming,Sneha Sharma,Rohan Patel
CALL-0158,E2974,R6468,2024-10-21 09:02:21,239,Missed,,9,,No,Incoming,Meera Mehta,Ananya Khan
CALL-0159,E6073,R5741,2024-09-27 13:02:21,225,Completed,Successful,7,3.0,Yes,Incoming,Diya Khan,Ananya Sharma
CALL-0160,E2184,R6126,2024-10-04 09:24:21,211,Missed,,54,,No,Incoming,Aditya Sharma,Ishaan Rao
CALL-0161,E2786,R1617,2024-10-06 00:26:21,108,Voicemail,,47,,No,Incoming,Neha Sharma,Arjun Mehta
CALL-0162,E6276,R2495,2024-09-30 02:31:21,215,Completed,Follow-up Needed,20,2.0,Yes,Outgoing,Arjun Gupta,Rahul Khan
CALL-0163,E8271,R7621,2024-09-27 17:39:21,61,Completed,Unsuccessful,16,2.0,Yes,Incoming,Vivaan Singh,Ananya Gupta
CALL-0164,E9803,R7612,2024-10-14 03:02:21,131,Completed,Unsuccessful,59,4.0,Yes,Outgoing,Aanya Joshi,Krishna Khan
CALL-0165,E7943,R1740,2024-10-14 02:49:21,42,Voicemail,,2,,No,Incoming,Diya Gupta,Ishaan Chauhan
CALL-0166,E8111,R1617,2024-09-30 04:45:21,223,Voicemail,,1,,No,Outgoing,Priya Gupta,Arjun Mehta
CALL-0167,E3464,R5922,2024-10-13 21:01:21,158,Voicemail,,11,,No,Outgoing,Vivaan Khan,Reyansh Rao
CALL-0168,E1261,R3515,2024-10-22 10:35:21,30,Voicemail,,28,,No,Incoming,Ishaan Verma,Ishika Joshi
CALL-0169,E2184,R7676,2024-09-27 00:24:21,226,Missed,,21,,No,Outgoing,Aditya Sharma,Aarav Joshi
CALL-0170,E2013,R2291,2024-10-01 19:06:21,119,Voicemail,,43,,No,Incoming,Aryan Chauhan,Sneha Sharma
CALL-0171,E6503,R2895,2024-10-02 10:23:21,279,Voicemail,,18,,No,Incoming,Krishna Sharma,Krishna Singh
CALL-0172,E2385,R5811,2024-10-04 03:16:21,233,Missed,,50,,No,Outgoing,Aarav Chauhan,Aditi Joshi
CALL-0173,E4591,R8837,2024-10-16 16:25:21,114,Voicemail,,60,,No,Outgoing,Ishika Joshi,Rohan Singh
CALL-0174,E7863,R9453,2024-10-01 03:53:21,172,Missed,,21,,No,Incoming,Karthik Khan,Sneha Chauhan
CALL-0175,E4509,R1589,2024-10-21 08:31:21,292,Missed,,10,,No,Outgoing,Aditya Mehta,Aarav Patel
CALL-0176,E1526,R7997,2024-10-18 04:28:21,115,Voicemail,,38,,No,Incoming,Karthik Sharma,Karthik Gupta
CALL-0177,E8830,R8047,2024-10-19 02:31:21,219,Voicemail,,47,,No,Outgoing,Priya Patel,Krishna Rao
CALL-0178,E5757,R9096,2024-09-22 16:40:21,290,Voicemail,,38,,No,Outgoing,Ananya Patel,Neha Mehta
CALL-0179,E8810,R8455,2024-10-05 23:29:21,279,Voicemail,,2,,No,Incoming,Aanya Patel,Aditi Mehta
CALL-0180,E7402,R3648,2024-10-08 13:51:21,110,Completed,Follow-up Needed,34,3.0,Yes,Outgoing,Rahul Sharma,Meera Mehta
CALL-0181,E7010,R4135,2024-10-15 15:49:21,245,Missed,,48,,No,Outgoing,Aryan Verma,Karthik Khan
CALL-0182,E7080,R4290,2024-09-25 22:19:21,267,Completed,Follow-up Needed,53,4.0,Yes,Outgoing,Krishna Mehta,Ishika Patel
CALL-0183,E7899,R7621,2024-10-01 22:07:21,293,Voicemail,,46,,No,Incoming,Karthik Rao,Ananya Gupta
CALL-0184,E9375,R7247,2024-09-27 12:36:21,157,Voicemail,,43,,No,Incoming,Rohan Khan,Vivaan Chauhan
CALL-0185,E2854,R3648,2024-10-07 09:13:21,100,Missed,,20,,No,Outgoing,Meera Sharma,Meera Mehta
CALL-0186,E2217,R5933,2024-10-02 18:15:21,149,Voicemail,,20,,No,Outgoing,Aryan Joshi,Rahul Verma
CALL-0187,E6173,R4377,2024-10-13 11:10:21,299,Voicemail,,36,,No,Outgoing,Karthik Joshi,Rohan Joshi
CALL-0188,E8720,R4718,2024-09-23 05:43:21,205,Completed,Unsuccessful,32,5.0,Yes,Outgoing,Aryan Khan,Karthik Rao
CALL-0189,E7402,R3117,2024-10-05 03:41:21,154,Completed,Unsuccessful,10,3.0,Yes,Incoming,Rahul Sharma,Diya Sharma
CALL-0190,E8848,R3757,2024-10-06 04:36:21,200,Voicemail,,20,,No,Outgoing,Priya Sharma,Ishaan Gupta
CALL-0191,E7080,R9167,2024-10-08 10:13:21,41,Completed,Successful,31,5.0,Yes,Incoming,Sneha Sharma,Aanya Patel
CALL-0192,E1831,R1071,2024-09-26 14:37:21,281,Missed,,29,,No,Incoming,Reyansh Rao,Aditya Joshi
CALL-0193,E4889,R1617,2024-10-18 11:41:21,177,Completed,Successful,22,1.0,Yes,Outgoing,Aarav Verma,Arjun Mehta
CALL-0194,E9702,R6197,2024-10-17 22:25:21,163,Completed,Successful,57,5.0,Yes,Outgoing,Aryan Gupta,Rohan Chauhan
CALL-0195,E2399,R1377,2024-10-03 13:01:21,253,Completed,Unsuccessful,6,3.0,Yes,Incoming,Neha Mehta,Ishika Rao
CALL-0196,E3473,R6687,2024-10-11 21:23:21,261,Completed,Unsuccessful,40,3.0,Yes,Outgoing,Neha Gupta,Ananya Verma
CALL-0197,E5502,R3020,2024-10-13 21:46:21,229,Missed,,60,,No,Incoming,Arjun Joshi,Aditya Gupta
CALL-0198,E4273,R2914,2024-10-12 03:09:21,297,Voicemail,,42,,No,Incoming,Arjun Khan,Aryan Joshi
CALL-0199,E7789,R4932,2024-10-02 22:27:21,192,Voicemail,,23,,No,Outgoing,Krishna Khan,Arjun Gupta
CALL-0200,E2779,R4715,2024-09-21 16:28:21,117,Missed,,20,,No,Incoming,Aarav Singh,Ishaan Singh
CALL-0201,E9012,R4112,2024-10-19 22:21:21,253,Missed,,55,,No,Outgoing,Karthik Mehta,Rahul Patel
CALL-0202,E7284,R2304,2024-10-15 07:29:21,42,Voicemail,,60,,No,Outgoing,Sneha Rao,Arjun Chauhan
CALL-0203,E6658,R2304,2024-10-15 08:00:21,290,Missed,,52,,No,Outgoing,Ishaan Sharma,Arjun Chauhan
CALL-0204,E4471,R2772,2024-09-23 01:10:21,143,Completed,Unsuccessful,40,1.0,Yes,Outgoing,Meera Patel,Aryan Sharma
CALL-0205,E2093,R3519,2024-10-13 03:48:21,210,Voicemail,,8,,No,Outgoing,Ananya Joshi,Arjun Rao
CALL-0206,E2349,R2278,2024-10-21 06:17:21,59,Completed,Unsuccessful,57,2.0,Yes,Incoming,Krishna Gupta,Aryan Chauhan
